TransactionID,CustomerName,Category,Amount,Branch,Date,Status
854118,Linda Hull,Home Appliances,9431.64,Suez - Port Tawfik,2026-01-26,Failed
448766,Thomas Owens,Groceries,9927.09,Alexandria - Smouha,2026-03-09,Pending
273643,Joseph Rice,Home Appliances,11892.86,Alexandria - Smouha,2025-09-21,Pending
678227,Dr. Cameron Brown,Fashion,8804.85,Suez - Port Tawfik,2025-05-03,Success
571141,Troy Flynn,Toys,12112.77,Suez - Port Tawfik,2025-08-14,Pending
793443,Sarah Sanchez,Toys,5519.11,Port Said - Port Fuad,2025-08-11,Pending
628166,Tami Hayes,Fashion,4469.18,Cairo - Nasr City,2025-10-02,Success
498618,Stephen Johnson,Electronics,933.45,Alexandria - Smouha,2025-09-14,Failed
146279,Kim Lopez,Electronics,14164.89,Suez - Port Tawfik,2025-09-28,Success
975574,Carrie Montgomery,Fashion,2052.69,Port Said - Port Fuad,2025-11-18,Success
326402,Garrett Gibbs II,Toys,9412.87,Port Said - Port Fuad,2025-08-07,Success
866330,Dr. Robert Cook,Groceries,12348.64,Giza - Dokki,2025-07-14,Failed
515557,Tammy Chapman,Electronics,3698.61,Giza - Dokki,2025-04-22,Success
992277,Stacy Vazquez,Home Appliances,4659.29,Cairo - Nasr City,2025-05-29,Pending
642479,Jennifer Wood,Groceries,11077.2,Alexandria - Smouha,2026-01-19,Success
207452,Steven Thompson,Toys,9262.98,Port Said - Port Fuad,2025-07-15,Pending
574606,Roger Glenn,Home Appliances,5306.9,Alexandria - Smouha,2025-09-21,Pending
181445,Gary White,Fashion,5543.28,Suez - Port Tawfik,2025-12-12,Success
539419,Austin Fitzgerald,Electronics,2441.01,Alexandria - Smouha,2026-02-03,Pending
809922,Sarah Mccoy,Groceries,8041.7,Alexandria - Smouha,2025-10-26,Pending
451237,Michael Smith,Electronics,11433.45,Alexandria - Smouha,2026-03-29,Pending
762517,Samuel Villarreal,Toys,9385.05,Suez - Port Tawfik,2026-02-06,Success
505808,Joseph Brown,Home Appliances,13177.62,Suez - Port Tawfik,2025-12-02,Success
200491,Jonathan Medina,Home Appliances,13763.53,Port Said - Port Fuad,2025-08-19,Success
957977,Joseph Lucas,Toys,8375.09,Giza - Dokki,2026-02-02,Failed
645158,Kelly Brown,Fashion,10044.5,Cairo - Nasr City,2026-01-23,Pending
814059,Christopher Willis,Toys,12492.2,Alexandria - Smouha,2025-11-25,Success
314033,Julie Kramer,Home Appliances,10308.45,Port Said - Port Fuad,2025-09-02,Failed
999292,Abigail Knox MD,Groceries,5688.47,Suez - Port Tawfik,2025-08-28,Success
567232,James Aguirre,Home Appliances,3133.01,Giza - Dokki,2026-01-08,Pending
494331,Anna Sellers,Home Appliances,7337.24,Suez - Port Tawfik,2026-03-24,Success
376163,Brian Fitzgerald,Electronics,5592.86,Giza - Dokki,2026-01-31,Pending
149199,Evan Mcgrath,Home Appliances,4928.72,Cairo - Nasr City,2026-03-21,Success
217652,Brandon Johnson,Home Appliances,1419.44,Suez - Port Tawfik,2025-04-11,Failed
939200,Joshua Burton,Home Appliances,1353.69,Giza - Dokki,2025-11-12,Failed
722456,Lance Short,Home Appliances,8747.62,Giza - Dokki,2025-07-22,Pending
856952,Jose Johnson,Home Appliances,2788.44,Port Said - Port Fuad,2025-09-13,Pending
948908,Andrew Fernandez,Fashion,4446.44,Port Said - Port Fuad,2025-05-12,Success
809463,Chad Miller,Home Appliances,6783.96,Suez - Port Tawfik,2025-11-06,Pending
791104,Stephanie King,Electronics,8176.27,Cairo - Nasr City,2026-02-22,Failed
236413,Matthew Ford,Home Appliances,5373.93,Port Said - Port Fuad,2025-08-17,Success
675302,Kelly Jacobs,Fashion,3226.78,Giza - Dokki,2025-04-01,Success
217791,Kaylee Rodriguez,Toys,1342.44,Suez - Port Tawfik,2025-08-23,Failed
990886,Samantha Lee,Home Appliances,13555.73,Cairo - Nasr City,2025-04-04,Success
581087,Danielle Horn,Electronics,12613.17,Cairo - Nasr City,2026-03-23,Failed
999958,Robert Moyer,Electronics,13987.35,Port Said - Port Fuad,2025-11-21,Pending
678250,Erin Zuniga,Toys,5477.64,Alexandria - Smouha,2025-07-23,Pending
577734,Ricky Shannon,Toys,3993.19,Alexandria - Smouha,2026-02-25,Pending
713069,Jeffrey Williams,Fashion,4788.09,Port Said - Port Fuad,2025-04-20,Success
350009,Brandon Bridges,Home Appliances,3484.13,Alexandria - Smouha,2025-11-22,Pending
110093,Derek Wood,Home Appliances,2888.41,Alexandria - Smouha,2025-05-09,Pending
932206,Andrew Rocha,Electronics,4017.45,Alexandria - Smouha,2025-12-21,Success
836288,Carol Kline,Toys,5206.43,Port Said - Port Fuad,2026-02-13,Success
501630,Melissa Ayala,Electronics,9892.72,Port Said - Port Fuad,2025-08-08,Pending
300651,Lori Wilson,Toys,9923.95,Alexandria - Smouha,2025-08-10,Failed
282342,Tracey Martinez,Home Appliances,3349.32,Alexandria - Smouha,2025-12-06,Failed
777038,Ryan Hughes,Fashion,10982.39,Giza - Dokki,2025-10-12,Success
313126,Timothy Jackson,Groceries,11591.37,Port Said - Port Fuad,2025-05-26,Failed
788082,Joanna Perez,Groceries,7288.74,Alexandria - Smouha,2025-12-12,Failed
838105,Madison Logan,Fashion,5222.44,Giza - Dokki,2025-09-09,Pending
922854,Robert Jones,Groceries,10460.41,Cairo - Nasr City,2025-08-18,Failed
329589,Christopher Walton,Fashion,4299.69,Port Said - Port Fuad,2025-05-18,Success
485459,Joseph Davis,Toys,12377.07,Cairo - Nasr City,2025-09-27,Success
777125,Terry Sutton,Home Appliances,3051.31,Alexandria - Smouha,2025-04-23,Pending
191244,Kathleen Smith,Electronics,13355.66,Suez - Port Tawfik,2026-03-27,Pending
458027,Benjamin Palmer,Groceries,1415.31,Alexandria - Smouha,2025-08-12,Failed
573104,Thomas Heath,Groceries,4861.86,Giza - Dokki,2025-08-14,Pending
384927,Eric Bass,Groceries,3482.69,Giza - Dokki,2025-08-04,Pending
